USERID;NAME;SURNAME;EMAIL;GENDER;RACE;AGE;PROVINCE;SOCIAL_MEDIA_HANDLE;CHANNEL2;RECORDDATE2;TIME;DURATION_2
903994;Bernardo;Hier;Bernardo323@mail.com;male;coloured;33;Western Cape;@Bernardo32;Trace TV;2016/01/04;20:09:00.000;00:02:00.000
802352;None;None;Shelley34@abcmail.com;None;None;0;None;None;ICC Cricket World Cup 2011;2016/03/30;11:04:00.000;00:10:06.000
866125;Emerson;Mccollum;Emerson243@mail.com;male;indian_asian;30;Gauteng;@Emerson24;ICC Cricket World Cup 2011;2016/03/30;19:01:00.000;00:00:42.000
2425604;Tiffani;Pilot;Tiffani433@mail.com;female;white;51;Gauteng;@Tiffani43;ICC Cricket World Cup 2011;2016/03/25;17:23:00.000;00:00:10.000
793571;Shelley;Reisinger;Shelley234@abcmail.com;female;white;9;Eastern Cape;@Shelley23;SawSee;2016/02/02;19:18:00.000;00:01:33.000
793571;Shelley;Reisinger;Shelley234@abcmail.com;female;white;9;Eastern Cape;@Shelley23;Boomerang;2016/03/18;18:56:00.000;00:00:10.000
793571;Shelley;Reisinger;Shelley234@abcmail.com;female;white;9;Eastern Cape;@Shelley23;Channel O;2016/03/20;06:25:00.000;00:17:15.000
793571;Shelley;Reisinger;Shelley234@abcmail.com;female;white;9;Eastern Cape;@Shelley23;Boomerang;2016/02/03;08:43:00.000;00:01:13.000
819248;None;None;Bess381@yahoo.com;None;None;0;None;None;Channel O;2016/03/31;12:01:00.000;00:04:45.000
820321;Haywood;Singer;Haywood92@gmail.com;male;indian_asian;26;Kwazulu Natal;@Haywood9;Cartoon Network;2016/01/09;10:25:00.000;00:00:40.000
892453;Eli;Caves;Eli291@yahoo.com;male;indian_asian;34;Gauteng;@Eli29;Supersport Live Events;2016/03/24;11:09:00.000;00:00:06.000
892453;Eli;Caves;Eli291@yahoo.com;male;indian_asian;34;Gauteng;@Eli29;ICC Cricket World Cup 2011;2016/03/26;17:33:00.000;05:01:12.000
828799;Romeo;Mastrangelo;Romeo375@mailxyz.com;male;None;38;Mpumalanga;@Romeo37;Channel O;2016/02/28;10:09:00.000;00:00:00.000
787656;Garry;Sytsma;Garry284@abcmail.com;male;black;26;Gauteng;@Garry28;Channel O;2016/02/15;10:40:00.000;00:11:15.000
939566;Bret;Holt;Bret314@abcmail.com;male;None;29;Mpumalanga;@Bret31;Supersport Live Events;2016/01/09;17:40:00.000;00:22:02.000
771778;Yong;Paradis;Yong484@abcmail.com;male;black;21;Eastern Cape;@Yong48;Supersport Live Events;2016/02/05;15:47:00.000;00:04:12.000
808915;Cory;Mcclaine;Cory105@mailxyz.com;male;black;37;Kwazulu Natal;@Cory10;SuperSport Blitz;2016/02/20;07:34:00.000;00:01:14.000
808915;Cory;Mcclaine;Cory105@mailxyz.com;male;black;37;Kwazulu Natal;@Cory10;Supersport Live Events;2016/02/21;15:45:00.000;00:00:50.000
808916;Donald;Zweifel;Donald224@abcmail.com;male;None;43;Western Cape;@Donald22;E! Entertainment;2016/02/19;13:03:00.000;00:01:42.000
808916;Donald;Zweifel;Donald224@abcmail.com;male;None;43;Western Cape;@Donald22;Boomerang;2016/02/19;22:15:00.000;00:00:00.000
831679;Hugh;Luthy;Hugh13@mail.com;male;coloured;27;Gauteng;@Hugh1;Supersport Live Events;2016/03/01;05:17:00.000;00:00:50.000
808917;Carter;Tatham;Carter34@abcmail.com;male;black;34;Gauteng;@Carter3;Break in transmission;2016/02/27;20:13:00.000;00:00:26.000
808917;Carter;Tatham;Carter34@abcmail.com;male;black;34;Gauteng;@Carter3;Supersport Live Events;2016/02/28;22:20:00.000;00:00:24.000
939570;Emerson;Marek;Emerson244@abcmail.com;male;None;22;Gauteng;@Emerson24;kykNET;2016/03/30;01:52:00.000;00:01:24.000
